received_at,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,accel_mag,gyro_mag
2026-06-07T19:55:45.547938,254354,-5.439626,-4.900931,-6.344635,-0.078074,-0.059155,0.153482,9.68829443,0.182075775
2026-06-07T19:55:45.589355,254407,-5.353435,-4.8722,-6.119579,0.016254,0.167338,0.04823,9.478757634,0.174906637
2026-06-07T19:55:45.648341,254462,-5.149928,-4.965574,-5.951985,0.088732,0.152417,0.174533,9.30617048,0.248125125
2026-06-07T19:55:45.693825,254516,-5.542577,-4.783615,-5.947197,0.188389,0.354395,0.381841,9.432512095,0.553975433
2026-06-07T19:55:45.750850,254570,-6.955156,-4.975151,-6.418855,0.36159,1.141792,0.650701,10.69242825,1.363029013
2026-06-07T19:55:45.801885,254623,-8.030152,-6.428432,-5.097255,-0.084469,3.08377,-0.558239,11.4799864,3.135028422
2026-06-07T19:55:45.860787,254678,-8.918402,-5.346252,1.436521,-3.039537,-4.717985,-8.731442,10.49685178,10.37960727
2026-06-07T19:55:45.908037,254731,-10.47224,-1.015141,-11.73877,-2.481832,-3.994539,-4.253807,15.76378898,6.341191204
2026-06-07T19:55:45.963165,254786,1.577779,-1.359907,-12.77067,-1.839923,-0.391966,-0.092995,12.93942603,1.883507914
2026-06-07T19:55:46.016259,254839,-2.432509,-2.837129,-9.677363,0.31336,0.679213,-0.049029,10.3738978,0.749618991
2026-06-07T19:55:46.070252,254894,-3.928885,-5.164293,-5.98311,0.059954,0.104453,0.150818,8.826305275,0.193005131
2026-06-07T19:55:46.123917,254948,-4.1707,-5.48751,-5.971139,-0.016521,-0.049029,0.030377,9.119320449,0.059996237
2026-06-07T19:55:46.177726,255001,-3.787627,-4.984728,-6.998251,-0.18679,-0.20411,-0.025047,9.389842841,0.277810634
2026-06-07T19:55:46.231871,255055,-3.361459,-4.331111,-8.015787,-0.249675,-0.163075,0.180928,9.711373246,0.34880654
