received_at,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,accel_mag,gyro_mag
2026-06-07T19:52:37.918816,66739,-3.031059,-6.576872,-6.646304,-0.263531,-0.080738,0.123905,9.829339796,0.302191432
2026-06-07T19:52:37.973954,66793,-3.722984,-6.526594,-6.921637,-0.066083,-0.129501,-0.064484,10.21597268,0.159046088
2026-06-07T19:52:38.027355,66847,-2.954445,-6.347029,-6.687006,-0.137495,-0.119908,-0.239816,9.681403391,0.301321286
2026-06-07T19:52:38.084418,66902,-3.110068,-6.200983,-6.947973,-0.166273,-0.142824,-0.299237,9.818301378,0.370928818
2026-06-07T19:52:38.136872,66956,-2.272097,-5.109226,-9.028535,-0.415681,0.61393,0.005862,10.61984272,0.741441233
2026-06-07T19:52:38.189414,67010,-1.036689,-3.011906,-16.15607,1.02215,4.040637,4.357727,16.46708534,6.030035041
2026-06-07T19:52:38.242899,67064,5.042189,-3.770868,-5.425261,1.034674,6.691672,8.731176,8.311231696,11.04909312
2026-06-07T19:52:38.314851,67118,-10.71645,-3.375824,-5.822699,-0.603804,1.801819,5.038805,12.65473476,5.385228575
2026-06-07T19:52:38.360566,67171,-10.46266,-2.219425,-7.216124,0.03011,-1.13966,0.33974,12.90215281,1.189602789
2026-06-07T19:52:38.406149,67225,-3.497929,-4.517859,-7.024588,0.270726,-0.116178,-0.557972,9.054909928,0.630969609
2026-06-07T19:52:38.458760,67280,-1.376666,-5.035006,-8.154651,0.205443,-0.470306,-0.459115,9.682191262,0.68860812
2026-06-07T19:52:38.513350,67333,-2.602497,-5.001487,-7.149086,0.273391,-0.416214,-0.421011,9.104795082,0.652094314
2026-06-07T19:52:38.566619,67387,-3.490746,-5.274426,-6.540959,-0.207308,-0.713054,-0.567032,9.098847284,0.934316811
2026-06-07T19:52:38.621092,67442,-4.110844,-4.702212,-7.548918,-0.442328,-0.624588,-0.417813,9.797754797,0.871970144
2026-06-07T19:52:38.675127,67496,-3.773262,-4.288015,-7.831434,-0.28698,-0.49562,-0.678413,9.693087086,0.887829321
2026-06-07T19:52:38.728532,67549,-3.667917,-4.539406,-8.437167,-0.060221,-0.290178,-0.298438,10.25892825,0.420588968
