received_at,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,accel_mag,gyro_mag
2026-06-07T19:52:08.903736,37718,-1.54426,-7.544129,-5.525817,-0.618726,0.263531,0.128968,9.478041719,0.684765066
2026-06-07T19:52:08.952414,37773,-2.585738,-6.435614,-7.999028,-0.420744,-0.2177,0.119642,10.58714397,0.488603123
2026-06-07T19:52:09.007754,37827,-2.41575,-6.98628,-6.576872,0.231822,-0.037571,-0.096992,9.894402539,0.25408752
2026-06-07T19:52:09.067756,37881,-1.860295,-7.33344,-5.717354,0.021583,0.127902,0.01732,9.483046793,0.130861491
2026-06-07T19:52:09.114208,37935,-1.977611,-7.314286,-5.681441,0.014123,0.096193,0.041835,9.470401089,0.105842901
2026-06-07T19:52:09.168641,37988,-2.552219,-7.237672,-6.040571,-0.111914,-0.011191,0.057289,9.766586702,0.126222072
2026-06-07T19:52:09.223522,38043,-2.339135,-7.161057,-6.466739,-0.017587,0.003464,-0.018119,9.928293066,0.025487252
2026-06-07T19:52:09.276864,38097,-2.15957,-7.187394,-6.019023,0.055424,0.015988,-0.027446,9.620343703,0.063880504
2026-06-07T19:52:09.329990,38150,-2.126051,-7.220912,-5.887342,0.013057,0.023449,-0.005862,9.556278501,0.027471875
2026-06-07T19:52:09.384184,38205,-2.116474,-7.264008,-5.966351,-0.009326,0.004263,0.038104,9.635487464,0.039459628
2026-06-07T19:52:09.437998,38259,-2.185906,-7.364564,-5.8634,-0.017587,0.001332,0.019452,9.664080272,0.026257515
2026-06-07T19:52:09.492033,38312,-2.197877,-7.252037,-5.95438,-0.048496,0.019185,0.014389,9.637289305,0.054101475
2026-06-07T19:52:09.546528,38366,-2.214637,-7.194576,-5.999869,-0.064217,-0.004263,0.026646,9.626264534,0.069656339
2026-06-07T19:52:09.600507,38420,-2.128445,-7.177817,-5.961562,-0.057023,-0.024248,0.027446,9.570347772,0.067770723
2026-06-07T19:52:09.654251,38475,-1.817199,-7.144298,-5.635951,-0.070346,-0.100989,0.057023,9.279393827,0.135642767
2026-06-07T19:52:09.708937,38529,-2.020706,-7.055712,-6.28478,-0.174,-0.30057,0.176132,9.662545431,0.389410845
2026-06-07T19:52:09.765391,38582,-3.153164,-7.043741,-6.758832,-0.119109,0.284315,0.223029,10.25858375,0.380478525
2026-06-07T19:52:09.815954,38636,-2.829947,-7.120356,-6.138733,-0.000533,0.045032,0.067681,9.817948484,0.081295036
2026-06-07T19:52:09.870062,38690,-2.760514,-7.10599,-6.071695,-0.007194,-0.022383,-0.011724,9.745820212,0.026271743
2026-06-07T19:52:09.927866,38744,-2.420538,-6.936002,-6.186617,-0.037838,0.022116,0.007194,9.604236454,0.044413797
2026-06-07T19:52:09.978189,38799,-2.420538,-6.916849,-6.110003,-0.059688,0.071678,0.032508,9.541170838,0.098778353
2026-06-07T19:52:10.031944,38853,-2.327164,-7.000646,-6.155493,-0.068481,0.107651,0.041035,9.608060719,0.134023343
2026-06-07T19:52:10.090190,38907,-2.504335,-7.022193,-6.203377,-0.071145,0.128968,0.036772,9.698699631,0.151810856
2026-06-07T19:52:10.140056,38961,-2.753332,-6.878541,-6.394913,-0.038904,-0.009326,0.031709,9.787240452,0.051048567
2026-06-07T19:52:10.195535,39015,-2.662352,-6.92882,-6.210559,-0.007194,-0.015455,-0.001332,9.678207885,0.017099266
