received_at,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,accel_mag,gyro_mag
2026-06-07T19:58:44.171711,432990,-4.680665,-6.287174,-5.394136,-0.212904,0.251807,0.128701,9.514929581,0.353975742
2026-06-07T19:58:44.219673,433044,-4.805163,-5.904101,-6.337452,-0.316557,-0.181194,0.084735,9.905114736,0.374459103
2026-06-07T19:58:44.274387,433099,-4.256891,-5.832275,-6.610391,-0.231822,0.06555,0.150818,9.789475054,0.28422581
2026-06-07T19:58:44.327746,433152,-4.649539,-5.98311,-5.781997,-0.074876,0.100989,0.224361,9.531385392,0.257182915
2026-06-07T19:58:44.382501,433207,-4.702212,-5.810728,-5.851429,-0.269926,0.144423,0.182527,9.492869899,0.35641851
2026-06-07T19:58:44.446203,433260,-4.505888,-5.580884,-6.004658,-0.357326,0.138294,0.304833,9.35442198,0.489622567
2026-06-07T19:58:44.490016,433315,-4.671088,-5.075707,-6.325481,-0.784998,0.263265,0.743963,9.3591439,1.113108829
2026-06-07T19:58:44.546286,433368,-8.281544,-4.242526,-11.24317,-0.323219,1.902276,1.074643,14.59424097,2.208615421
2026-06-07T19:58:44.597940,433422,-6.43322,2.602497,-12.38521,8.731176,3.865838,-4.383308,14.19692702,10.50673721
2026-06-07T19:58:44.654215,433477,3.25372,-15.51203,6.751649,4.228493,-1.280885,-1.766646,17.2277257,4.758346091
2026-06-07T19:58:44.705915,433531,2.078167,-6.086061,3.222595,0.297639,-1.288346,0.603271,7.193332684,1.453396123
2026-06-07T19:58:44.760084,433585,-0.371101,-8.705317,-0.610521,-1.026414,0.329348,0.642974,8.73458619,1.255153923
2026-06-07T19:58:44.814044,433639,-2.454057,-9.856929,-2.626439,-0.532658,-0.127369,0.6523,10.49188386,0.851729239
2026-06-07T19:58:44.868369,433693,-3.220201,-10.1179,-2.899378,-0.189188,-0.001332,0.202245,11.00672466,0.276942076
2026-06-07T19:58:44.921743,433746,-2.109292,-9.591172,-2.487576,0.235553,0.361856,-0.261666,10.13053441,0.504870356
2026-06-07T19:58:44.976424,433800,-1.649605,-9.107543,-1.656788,0.228625,0.314426,-0.229957,9.40284439,0.451678339
