received_at,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,accel_mag,gyro_mag
2026-06-07T19:59:30.935641,479759,-3.857059,-6.428432,-6.244078,-0.193452,0.139893,0.063951,9.756544069,0.247150679
2026-06-07T19:59:30.987170,479813,-4.237737,-6.244078,-5.990293,0.019985,-0.068481,0.048763,9.634860413,0.086411097
2026-06-07T19:59:31.044486,479867,-4.426879,-6.344635,-5.779603,-0.027712,0.068214,0.065017,9.656886755,0.098225837
2026-06-07T19:59:31.095128,479920,-4.503493,-6.414066,-5.540183,0.145755,0.106585,-0.011991,9.59767261,0.180965926
2026-06-07T19:59:31.160015,479975,-4.060566,-6.378153,-5.360618,0.088466,0.109783,-0.020251,9.268508902,0.142438209
2026-06-07T19:59:31.203131,480028,-3.878607,-6.394913,-5.260061,0.307498,-0.045299,-0.001599,9.143672471,0.31082081
2026-06-07T19:59:31.257050,480082,-2.806004,-5.240908,0.814029,-5.893617,0.715985,2.705127,6.000284854,6.52419098
2026-06-07T19:59:31.313001,480136,-4.790798,0.658405,-6.200983,-8.148423,-0.41808,2.996904,7.86367807,8.692124128
2026-06-07T19:59:31.365821,480190,-6.332664,3.442862,-12.02847,-0.498551,0.188122,0.39996,14.02283932,0.666266454
2026-06-07T19:59:31.419166,480244,-6.840234,2.315193,-9.009381,-0.857476,-0.318423,0.459914,11.5463356,1.023806224
2026-06-07T19:59:31.473285,480298,-6.394913,1.884237,-8.468291,0.493755,-0.395164,-0.519868,10.77762561,0.818664354
2026-06-07T19:59:31.527115,480353,-5.351041,1.374272,-7.448361,0.480432,0.115911,-0.282717,9.273637091,0.569367341
2026-06-07T19:59:31.588949,480407,-4.596867,0.502782,-6.758832,0.127103,-0.06928,-0.014389,8.189370303,0.145471421
2026-06-07T19:59:31.635397,480460,-5.003881,0.984017,-6.538565,0.196116,0.645905,0.045832,8.292161767,0.67657618
2026-06-07T19:59:31.689092,480515,-5.60722,0.782904,-7.19697,-0.332812,0.203844,0.256337,9.15697723,0.466931324
