device_id,timestamp,received_at,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp
ESP32_01,2026-05-25T14:21:13.397668,12164,-3.311181,-6.368577,-7.182605,-0.015721,0.074876,0.27792,32.18294
ESP32_01,2026-05-25T14:21:13.698949,13344,-3.833117,-6.406884,-5.638345,0.482564,-0.338407,-0.036505,32.17412
ESP32_01,2026-05-25T14:21:13.900773,13638,-3.423708,-5.762844,-6.670246,-0.087666,0.052227,0.035706,32.16235
ESP32_01,2026-05-25T14:21:14.108383,13836,-3.301604,-5.973533,-6.710948,0.14762,0.009593,-0.075142,32.18
ESP32_01,2026-05-25T14:21:14.243660,14053,-2.734178,-5.813122,-4.879383,1.364821,-0.715985,-0.611531,32.17412
ESP32_01,2026-05-25T14:21:18.102189,14180,-2.882619,8.259995,-24.09046,-5.782503,1.704294,2.484496,32.18588
ESP32_01,2026-05-25T14:21:18.408767,18037,-3.734955,-5.695806,-6.856994,-0.019185,0.060487,0.006129,32.16824
ESP32_01,2026-05-25T14:21:18.538894,18346,-3.581726,-5.477933,-6.878541,0.289645,0.028245,-0.038904,32.15941
ESP32_01,2026-05-25T14:21:21.888273,18475,-5.547365,10.60871,2.291251,-8.731442,1.273691,5.867504,32.16824
ESP32_01,2026-05-25T14:21:22.093026,21827,-3.524265,-6.428432,-6.258443,0.018919,0.054891,-0.011991,32.15059
ESP32_01,2026-05-25T14:21:22.299702,22035,-3.423708,-6.318298,-6.200983,0.011991,0.027979,-0.012524,32.16529
ESP32_01,2026-05-25T14:21:25.988314,22243,-5.396531,5.693412,-19.09855,-3.438432,0.977118,1.12687,32.15059
ESP32_01,2026-05-25T14:21:26.139100,25922,-3.469198,-5.621585,-6.868965,-0.023982,0.049296,0.036239,32.14177
ESP32_01,2026-05-25T14:21:26.498096,26078,-3.541024,-5.602432,-7.089231,0.001599,0.037838,0.014922,32.15353
ESP32_01,2026-05-25T14:21:26.804985,26437,-8.913613,10.31662,3.220201,-8.731442,0.79539,5.60797,32.13
ESP32_01,2026-05-25T14:21:26.944628,26740,-4.22816,3.610456,-8.339005,0.018652,-0.156147,-0.220631,32.13882
ESP32_01,2026-05-25T14:21:27.078533,26884,-4.546589,3.177106,-7.94875,0.750358,0.169737,-0.209706,32.12118
ESP32_01,2026-05-25T14:21:27.435245,27020,-7.405266,2.185906,-11.70525,2.208974,0.392499,-1.63075,32.13588
ESP32_01,2026-05-25T14:21:27.623039,27378,1.027112,-10.31183,0.42138,0.232355,-0.430337,0.004263,32.13882
ESP32_01,2026-05-25T14:21:27.832006,27566,-6.813898,7.551312,-15.0284,2.034175,-0.788729,-0.663758,32.14177
ESP32_01,2026-05-25T14:21:28.038313,27773,-5.456386,3.280056,-12.44506,2.50981,-0.414083,-1.159112,32.13588
ESP32_01,2026-05-25T14:21:28.240975,27981,-0.299275,-5.260061,-3.632004,0.524665,-0.577957,1.181495,32.13
ESP32_01,2026-05-25T14:21:28.373238,28179,6.725313,-15.2367,3.902549,-2.134631,-0.037571,3.54022,32.11824
ESP32_01,2026-05-25T14:21:31.511371,28318,-8.664616,10.37886,-15.773,1.307798,-0.455118,-0.443926,32.13588
ESP32_01,2026-05-25T14:21:31.640743,31452,-5.494693,-7.690176,-0.881066,0.086867,-0.229424,-0.058888,32.10647
ESP32_01,2026-05-25T14:21:31.927615,31581,-5.825093,-7.797915,-0.246603,0.179329,-0.271792,0.004796,32.10353
ESP32_01,2026-05-25T14:21:32.337034,31904,-4.867412,-7.838616,0.189142,-0.198781,0.430337,-0.171069,32.09765
ESP32_01,2026-05-25T14:21:32.542272,32276,-5.592855,-8.003817,-1.285686,-0.206242,-0.33441,-0.067149,32.13294
ESP32_01,2026-05-25T14:21:32.844800,32484,-5.643134,-7.953538,-0.70629,-0.156413,0.013856,0.062352,32.13294
ESP32_01,2026-05-25T14:21:33.358667,32783,-5.631162,-7.936779,-0.543484,-0.085002,0.077541,0.005063,32.10647
ESP32_01,2026-05-25T14:21:33.566834,33302,-4.879383,-8.171411,0.086191,0.489225,1.069314,-0.026113,32.10941
