device_id,timestamp,received_at,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp
ESP32_01,2026-05-25T14:13:53.832934,14997,-6.397307,-4.120421,-5.774815,-0.258202,0.004796,0.145755,31.88294
ESP32_01,2026-05-25T14:13:53.914725,15086,-5.851429,-4.455609,-5.420473,0.322153,0.575825,-0.057023,31.89765
ESP32_01,2026-05-25T14:13:54.006970,15171,-6.797139,-3.792415,-6.806715,-0.213969,-0.402891,0.372781,31.87412
ESP32_01,2026-05-25T14:13:54.094223,15255,-5.631162,-4.441244,-7.163452,0.443926,0.520934,0.273391,31.88588
ESP32_01,2026-05-25T14:13:54.182270,15349,-4.910508,-4.36463,-6.181829,0.899577,0.688806,0.962462,31.88
ESP32_01,2026-05-25T14:13:54.259897,15433,-31.32574,4.577713,10.31183,-3.213005,2.987311,-7.012759,31.89177
ESP32_01,2026-05-25T14:13:54.348528,15518,34.86436,0.52433,-21.47599,-2.88872,1.689638,-2.30117,31.88294
ESP32_01,2026-05-25T14:13:54.427595,15603,-7.182605,-2.722207,-11.74595,0.359458,0.205976,1.385605,31.89765
ESP32_01,2026-05-25T14:13:54.499451,15678,-2.616863,-3.596091,-7.376535,0.60487,-2.029645,0.000799,31.89471
ESP32_01,2026-05-25T14:13:54.575505,15751,-5.93762,-3.071761,-9.052477,0.716251,-0.496953,0.59208,31.87118
ESP32_01,2026-05-25T14:13:55.211997,15825,-3.955221,-4.850653,-4.479551,2.182594,0.124704,0.334943,31.88294
ESP32_01,2026-05-25T14:13:55.286598,16462,-7.706935,-0.792481,-12.08593,0.914233,0.903041,0.919296,31.88
ESP32_01,2026-05-25T14:13:55.360352,16537,-3.421314,-4.101267,-6.418855,0.996037,-1.445559,-0.583553,31.87118
ESP32_01,2026-05-25T14:13:55.434402,16611,-2.70066,-4.728549,-6.856994,0.237418,-0.036772,-0.080205,31.87118
ESP32_01,2026-05-25T14:13:55.514761,16684,-3.739743,-3.574543,-8.087613,-0.21317,-0.096992,0.192652,31.87706
ESP32_01,2026-05-25T14:13:55.594690,16768,-3.574543,-4.012682,-8.425196,0.192386,-0.176398,-0.114312,31.87412
ESP32_01,2026-05-25T14:13:56.240511,16852,-2.588132,-3.864242,-8.765172,0.389302,-0.596343,-0.108983,31.86235
ESP32_01,2026-05-25T14:13:56.321195,17496,-3.74932,-3.529053,-7.955932,0.304034,-0.163075,0.175332,31.86529
ESP32_01,2026-05-25T14:13:56.405412,17580,-4.520253,-4.094085,-6.785168,0.337342,0.27872,0.13856,31.86823
ESP32_01,2026-05-25T14:13:56.492136,17664,-4.098873,-3.998317,-7.019799,-0.006662,-0.094861,-0.005329,31.88294
