device_id,timestamp,received_at,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp
ESP32_01,2026-05-25T14:17:32.102041,233232,-5.255273,-6.677429,-5.11162,-0.465776,0.482031,0.999501,32.67118
ESP32_01,2026-05-25T14:17:32.304149,233355,-6.0286,-6.773197,-4.829105,-0.067948,-0.305899,0.552377,32.68
ESP32_01,2026-05-25T14:17:32.510100,233562,-4.19943,-6.351817,-4.304775,-0.033574,0.000266,0.294175,32.67706
ESP32_01,2026-05-25T14:17:32.641680,233766,17.76258,1.850718,-18.06904,-1.004297,-0.148953,-1.256104,32.66529
ESP32_01,2026-05-25T14:17:32.776430,233893,-2.454057,-4.805163,-5.209783,0.044499,-0.249942,-0.527862,32.66824
ESP32_01,2026-05-25T14:17:32.915999,234033,-4.735731,-5.547365,-7.33344,-0.179862,-0.171069,0.39623,32.66824
ESP32_01,2026-05-25T14:17:33.044769,234170,-4.048595,-4.932055,-7.529764,-0.002398,0.085534,0.107118,32.65647
ESP32_01,2026-05-25T14:17:33.226240,234297,-3.924097,-5.24809,-6.754043,-0.034374,0.194251,0.146288,32.67118
