device_id,timestamp,received_at,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp
ESP32_01,2026-05-25T14:20:25.877137,55835,-2.044648,-2.760514,-9.770737,0.027979,0.4791,0.086334,32.20941
ESP32_01,2026-05-25T14:20:26.183833,56180,-1.374272,-2.269703,-11.8082,-1.038138,0.833228,1.269161,32.20647
ESP32_01,2026-05-25T14:20:26.388373,56488,-3.275268,-7.671022,-3.359065,-1.215335,-0.580089,0.896113,32.21824
ESP32_01,2026-05-25T14:20:26.591872,56693,-2.808398,-2.695871,-11.11628,-2.307032,0.10845,1.08317,32.20941
ESP32_01,2026-05-25T14:20:26.800070,56898,-3.026271,-2.056619,-8.89446,-0.158279,0.185991,0.198781,32.21529
ESP32_01,2026-05-25T14:20:27.004228,57107,-7.982268,-5.540183,3.385401,-1.386671,-3.655599,0.267795,32.23
ESP32_01,2026-05-25T14:20:27.206119,57306,-1.656788,-8.738836,-4.951209,-0.762616,-0.416481,-0.071945,32.23882
ESP32_01,2026-05-25T14:20:27.415493,57515,-4.192247,-1.886631,-11.03248,-2.005397,-0.015455,0.960064,32.21529
ESP32_01,2026-05-25T14:20:27.549008,57724,-0.306458,-6.05733,3.89776,0.553975,0.391966,3.163443,32.19765
ESP32_01,2026-05-25T14:20:27.823383,57852,-3.397372,-7.395689,-7.896077,-0.836959,-1.526031,0.476435,32.21235
ESP32_01,2026-05-25T14:20:27.963588,58131,-3.232172,-2.054225,-9.035717,-2.627853,-0.166539,1.122873,32.22412
ESP32_01,2026-05-25T14:20:28.153909,58321,7.161057,-35.91302,16.37634,6.106521,-5.882426,-2.014989,32.24176
ESP32_01,2026-05-25T14:20:28.292791,58456,-0.368707,-6.979098,-6.0286,-1.587051,-1.916665,0.659761,32.20941
ESP32_01,2026-05-25T14:20:28.643732,58602,-1.659182,-6.016629,-6.991069,-1.711488,-0.664824,0.706392,32.21529
ESP32_01,2026-05-25T14:20:28.775859,58948,4.922479,-2.873042,6.596025,0.119109,2.406423,4.853614,32.23294
ESP32_01,2026-05-25T14:20:28.909882,59085,-3.718195,-9.165004,-4.635174,-1.236919,-1.289945,0.500417,32.23
ESP32_01,2026-05-25T14:20:29.284017,59213,-2.042254,-8.453926,-4.012682,-1.771709,-1.772775,0.369583,32.21235
ESP32_01,2026-05-25T14:20:29.458122,59593,2.750938,-5.092467,-2.72939,-1.762116,2.890319,1.193485,32.22706
ESP32_01,2026-05-25T14:20:32.203628,59759,-1.036689,-4.93445,-5.291186,-3.483731,-0.078606,0.830031,32.22118
ESP32_01,2026-05-25T14:20:32.531699,62618,-14.28381,-0.960075,-21.20066,0.82177,2.225495,0.893715,32.21529
ESP32_01,2026-05-25T14:20:32.737867,62833,0.246603,-7.012617,-1.37906,-1.495654,1.380009,-0.236086,32.23588
ESP32_01,2026-05-25T14:20:32.940074,63040,-2.920926,-5.063736,-4.074931,-3.644141,0.749292,1.437032,32.23588
ESP32_01,2026-05-25T14:20:33.147427,63249,9.935937,-28.0361,22.27805,5.700165,-8.131636,-3.493057,32.21824
ESP32_01,2026-05-25T14:20:33.351485,63457,-5.360618,-8.135497,-6.572083,-2.692337,-0.146021,1.708291,32.22706
ESP32_01,2026-05-25T14:20:33.556556,63655,-15.98369,15.69639,-21.6364,8.731176,2.285982,-1.665124,32.22412
ESP32_01,2026-05-25T14:20:33.761926,63862,-1.651999,-9.68694,-4.441244,-0.616861,-2.351531,0.913433,32.21235
ESP32_01,2026-05-25T14:20:33.897778,64070,-3.924097,-8.92319,-0.703895,-0.201712,-0.603538,0.765813,32.21824
ESP32_01,2026-05-25T14:20:34.023824,64199,-4.436456,-8.748413,-1.010353,-0.227026,0.281118,-0.007994,32.23294
ESP32_01,2026-05-25T14:20:34.155694,64327,-5.24809,-8.298303,-2.322376,-0.486028,0.217433,0.041835,32.23294
ESP32_01,2026-05-25T14:20:34.375623,64465,-4.608838,-8.305486,-1.405396,-0.070346,0.166806,0.035972,32.20353
ESP32_01,2026-05-25T14:20:34.508594,64683,-4.431667,-8.295909,-1.604115,-0.186524,0.144156,0.035706,32.22412
ESP32_01,2026-05-25T14:20:34.642653,64818,-5.006276,-8.164227,-2.437297,-0.215835,0.133498,0.07381,32.23588
ESP32_01,2026-05-25T14:20:34.778903,64946,-4.407725,-8.192958,-2.607286,-0.182793,0.088466,0.079139,32.22118
ESP32_01,2026-05-25T14:20:34.990986,65085,-4.865018,-8.085219,-2.681506,-0.042368,0.049562,0.030643,32.22706
ESP32_01,2026-05-25T14:20:35.192247,65295,-3.665523,-7.785944,-1.549049,0.531326,0.185191,-0.177198,32.22412
