device_id,timestamp,received_at,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp
ESP32_01,2026-05-25T14:15:07.624271,88797,-7.534553,-4.707001,-4.299986,-0.310162,0.195317,0.287513,31.90059
ESP32_01,2026-05-25T14:15:07.722438,88882,-7.970297,-4.52983,-3.962404,0.077274,0.440196,0.140959,31.90059
ESP32_01,2026-05-25T14:15:07.826989,88985,-6.600814,-4.850653,-4.446033,0.222496,0.747427,0.024781,31.88882
ESP32_01,2026-05-25T14:15:07.927524,89089,-6.244078,-4.659117,-6.002264,-0.025047,0.654965,0.100456,31.90353
ESP32_01,2026-05-25T14:15:08.020942,89190,-1.989582,-3.28245,-8.180987,0.089531,1.179629,3.054459,31.89471
ESP32_01,2026-05-25T14:15:08.100477,89272,-28.92196,6.246472,2.063802,-2.148753,2.790129,-7.302138,31.90647
ESP32_01,2026-05-25T14:15:08.176111,89352,37.81402,-4.39336,-19.45289,-2.337142,-0.359191,-1.722946,31.88882
ESP32_01,2026-05-25T14:15:08.249519,89425,-8.542512,-2.343924,-9.631873,-0.306698,-0.454851,0.597409,31.90059
ESP32_01,2026-05-25T14:15:08.345082,89500,-0.624887,-5.791574,-6.289568,-0.107384,-0.816974,-0.41275,31.89765
ESP32_01,2026-05-25T14:15:11.543244,89600,-1.33357,-3.96001,-9.816227,0.231023,-0.184126,0.489225,31.89471
ESP32_01,2026-05-25T14:15:11.629865,92799,-6.528988,-5.944803,-3.524265,-0.035972,0.10845,0.015721,31.88588
ESP32_01,2026-05-25T14:15:11.719644,92885,-6.634333,-5.951985,-3.632004,-0.037571,0.061819,0.020784,31.88
ESP32_01,2026-05-25T14:15:11.836401,92979,-6.540959,-5.887342,-3.529053,-0.03464,0.032508,0.032242,31.89471
ESP32_01,2026-05-25T14:15:11.931568,93096,-6.442797,-5.918467,-3.529053,-0.01732,0.06928,0.022649,31.90941
ESP32_01,2026-05-25T14:15:12.035750,93183,-6.406884,-5.928043,-3.928885,-0.164141,0.125237,0.120974,31.89471
