device_id,timestamp,received_at,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp
ESP32_01,2026-05-25T14:10:05.069213,31740,-3.883395,-5.331887,-7.953538,-0.199047,0.027712,0.249409,32.05647
ESP32_01,2026-05-25T14:10:05.151678,31826,-4.491522,-5.753267,-6.22253,0.234753,0.063418,0.046631,32.07412
ESP32_01,2026-05-25T14:10:05.230030,31911,-3.730166,-5.664681,-6.471527,-0.084202,-0.05196,-0.003198,32.04176
ESP32_01,2026-05-25T14:10:05.319820,31986,-3.859453,-5.573701,-6.715736,-0.029311,0.155614,-0.027712,32.0447
ESP32_01,2026-05-25T14:10:05.400327,32082,-3.98874,-5.686229,-6.842628,0.057556,0.063418,-0.114845,32.03588
ESP32_01,2026-05-25T14:10:05.474413,32155,-3.907337,-5.770026,-6.438008,0.125504,0.094594,-0.222496,32.05059
ESP32_01,2026-05-25T14:10:05.547520,32229,-3.153164,-5.755661,-7.249643,-0.005862,0.089798,-0.415681,32.03294
ESP32_01,2026-05-25T14:10:05.626698,32303,28.22524,3.572149,-27.02814,-1.882557,0.572361,1.821005,32.03294
ESP32_01,2026-05-25T14:10:05.708621,32391,-28.42157,16.03157,9.856929,7.882493,5.15445,8.731176,32.04176
ESP32_01,2026-05-25T14:10:05.783740,32466,-13.70441,-4.398149,-0.069432,0.035173,0.966992,-2.305433,32.05941
ESP32_01,2026-05-25T14:10:05.857931,32539,-4.036624,-6.677429,-4.762067,0.08207,-0.746628,-0.298971,32.03588
ESP32_01,2026-05-25T14:10:05.935543,32613,-6.394913,-4.862624,-4.254497,-0.139093,-0.798588,0.009859,32.0447
ESP32_01,2026-05-25T14:10:06.009186,32692,-7.939173,-4.79798,-3.248932,-0.258469,-1.573994,-0.156413,32.06235
ESP32_01,2026-05-25T14:10:06.084726,32765,-7.797915,-4.982334,-4.101267,-0.556907,-1.372815,-0.264064,32.01235
ESP32_01,2026-05-25T14:10:06.167469,32848,-7.098808,-4.912902,-4.367024,-0.278986,-0.348266,-0.393032,32.05941
ESP32_01,2026-05-25T14:10:06.252074,32932,-7.534553,-5.913678,-2.442086,0.100723,-1.038937,-0.372515,32.04176
ESP32_01,2026-05-25T14:10:06.342629,33016,-7.074866,-6.098032,-1.012747,0.050095,-0.838291,-0.422343,32.05353
ESP32_01,2026-05-25T14:10:06.424573,33097,-7.254431,-6.019023,-1.805228,0.015455,0.038904,-0.415948,32.05059
ESP32_01,2026-05-25T14:10:06.498919,33180,-6.854599,-6.385336,-1.434127,0.03091,-0.290711,-0.285381,32.03
ESP32_01,2026-05-25T14:10:06.574028,33253,-6.619968,-7.07726,-0.751779,0.040502,0.136695,-0.464711,32.04176
ESP32_01,2026-05-25T14:10:06.649333,33330,-5.961562,-6.766014,-1.70946,0.16574,0.555841,-0.528928,32.05059
ESP32_01,2026-05-25T14:10:06.720064,33404,-6.378153,-6.945579,-1.505953,-0.013057,0.12204,-0.086867,32.03882
