device_id,timestamp,received_at,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp
ESP32_01,2026-05-25T14:19:46.486249,16654,-4.177882,-4.690241,-8.267179,-0.335743,0.113779,0.225427,32.21235
ESP32_01,2026-05-25T14:19:46.659178,16793,-4.127604,-4.721366,-6.399701,-0.176132,0.081005,0.103654,32.23294
ESP32_01,2026-05-25T14:19:46.864617,16964,-4.237737,-4.359841,-7.187394,-0.089265,0.100456,0.090864,32.20941
ESP32_01,2026-05-25T14:19:47.008380,17175,-25.45994,21.8423,-29.41277,8.731176,0.22596,-6.569632,32.21824
ESP32_01,2026-05-25T14:19:47.272625,17351,3.354277,-3.263297,-0.411803,-0.412484,3.07924,0.368784,32.19471
ESP32_01,2026-05-25T14:19:47.477776,17583,-4.328717,-6.435614,-5.765238,-3.733406,0.911568,1.88389,32.20059
ESP32_01,2026-05-25T14:19:47.679662,17781,-4.74052,-3.718195,-8.439561,-1.154315,0.045832,0.774606,32.18588
ESP32_01,2026-05-25T14:19:47.901099,17989,-12.6366,5.176264,-33.28898,2.365387,1.710956,-0.15215,32.19765
ESP32_01,2026-05-25T14:19:48.049599,18209,-1.61848,-5.334281,-2.631228,-0.87826,0.145755,0.402625,32.21235
ESP32_01,2026-05-25T14:19:48.297892,18354,-0.562637,-8.508993,0.177171,-0.470573,-1.207608,0.306698,32.19176
ESP32_01,2026-05-25T14:19:48.442371,18603,-4.314352,-2.626439,-10.71884,-0.991507,0.138028,0.657363,32.19471
ESP32_01,2026-05-25T14:19:48.711123,18750,-17.24544,9.006987,-36.41102,4.303902,1.350432,-0.114579,32.20353
ESP32_01,2026-05-25T14:19:48.854888,19011,-2.063802,-9.078813,-2.334347,0.139626,-0.416747,-0.189721,32.20647
ESP32_01,2026-05-25T14:19:48.997156,19162,-1.766921,-9.770737,0.316035,-2.961464,-0.510276,0.487093,32.17706
ESP32_01,2026-05-25T14:19:49.321681,19302,-3.404555,-2.183512,-10.59434,-3.50558,0.393565,0.872132,32.18
ESP32_01,2026-05-25T14:19:49.526250,19622,0.605733,-8.633492,9.720459,-0.333611,0.889985,0.822303,32.17706
ESP32_01,2026-05-25T14:19:49.731737,19830,-2.511518,-8.379706,-5.573701,-0.551311,-0.484695,0.252873,32.17118
ESP32_01,2026-05-25T14:19:49.934748,20038,-3.169923,-2.327164,-8.623915,-3.866904,0.828965,0.962196,32.15941
ESP32_01,2026-05-25T14:19:52.648767,20237,-8.817844,0.933739,-20.17833,1.46954,2.276922,0.413017,32.17706
ESP32_01,2026-05-25T14:19:52.799084,22947,2.363077,2.501941,-8.286332,0.06928,1.394398,0.22596,32.08
ESP32_01,2026-05-25T14:19:53.007018,23105,4.450821,2.566584,-8.655039,0.436732,-0.067415,0.082603,32.06823
ESP32_01,2026-05-25T14:19:53.210968,23314,0.196325,1.237802,-9.097966,0.414349,-1.408254,0.097792,32.06235
ESP32_01,2026-05-25T14:19:53.418585,23512,-0.320823,1.371878,-8.7125,-0.059954,-0.53559,-0.542518,32.09177
ESP32_01,2026-05-25T14:19:53.621476,23721,4.230555,1.651999,-8.343793,-0.306698,2.192453,0.324018,32.08294
ESP32_01,2026-05-25T14:19:53.837768,23926,1.015141,2.422932,-9.323022,-0.179063,-0.676015,-0.302701,32.09177
ESP32_01,2026-05-25T14:19:54.032779,24144,0.09098,3.806781,-8.853758,-0.249942,0.658962,0.200646,32.09471
ESP32_01,2026-05-25T14:19:54.236765,24339,-2.296039,1.958457,-9.545682,-0.939014,0.066616,-0.544649,32.10059
ESP32_01,2026-05-25T14:19:54.368452,24538,1.446098,1.352724,-9.26556,0.589415,-0.073544,0.769544,32.11824
ESP32_01,2026-05-25T14:19:54.644236,24678,0.814029,2.092532,-10.87446,-0.744496,-0.879859,-0.168404,32.12412
ESP32_01,2026-05-25T14:19:54.851071,24953,-5.116409,-0.823605,-7.927202,-0.279786,-0.477767,0.30057,32.11235
ESP32_01,2026-05-25T14:19:55.059527,25152,-15.29895,19.08658,-17.9637,8.731176,1.98781,-6.083338,32.10353
ESP32_01,2026-05-25T14:19:55.371336,25371,1.218649,-6.397307,-0.70629,-2.094928,-0.968591,1.656064,32.10059
ESP32_01,2026-05-25T14:19:55.666149,25677,-3.450045,-1.103727,-10.37647,-1.332845,-0.034907,0.841755,32.11824
ESP32_01,2026-05-25T14:19:55.801394,25974,0.304064,-3.157952,7.232883,1.279286,-1.24358,1.358426,32.13
ESP32_01,2026-05-25T14:19:56.078304,26104,-3.143587,-8.269572,-2.217031,-0.117776,-1.995271,1.693636,32.09177
ESP32_01,2026-05-25T14:19:56.281932,26384,-5.023035,-8.348581,-2.011129,-0.646172,0.397562,-0.275522,32.13
ESP32_01,2026-05-25T14:19:56.486988,26586,-4.343082,-8.324639,-1.496376,-0.359191,-0.128435,0.349599,32.11824
ESP32_01,2026-05-25T14:19:56.699087,26795,-5.073313,-8.24563,-1.613692,0.041568,0.284582,0.083669,32.10941
